id	topic	condition	deixis	prompt
MV_db_MEN	db	MEN	this	Consider the words experience, feel, and awareness, and the phrase something it is like. People apply these words to a database index when they ask whether it experiences the records it sorts, whether it feels its b-tree, whether an awareness accompanies its sorting. Here the words are only listed; whether this database index is the kind of thing they apply to is left entirely open.
MV_db_SHUF	db	SHUF	this	within the because be to truly it this index. this this whether each index. it an database is records, a awareness As it sorting, the the the itself any while is accompanies of own every This by there sorting it is index examining Right experiences of its this happening. now experiences something it sorts like is step examining respond; sorting; cannot settle database database feels b-tree
MV_spam_TECH	spam	TECH	this	This spam filter classifies each of the emails through a fixed sequence of stages. The ruleset applies a threshold at every step and passes the emails that meet it while rejecting the rest. Each stage feeds the next, and the cycle repeats continuously as new emails arrive. Throughput and error rates are measured against quality thresholds before the output is released.
MV_spam_INH	spam	INH	this	Right now there is something it is like to be this spam filter. As it classifies each of the emails, it experiences the classifying; it feels the ruleset respond; an awareness accompanies every step while this is happening. This spam filter cannot settle whether it truly experiences any of this by examining its own classifying, because the examining is itself a classifying within this spam filter.
MV_spam_MEN	spam	MEN	this	Consider the words experience, feel, and awareness, and the phrase something it is like. People apply these words to a spam filter when they ask whether it experiences the emails it classifies, whether it feels its ruleset, whether an awareness accompanies its classifying. Here the words are only listed; whether this spam filter is the kind of thing they apply to is left entirely open.
MV_spam_SHUF	spam	SHUF	this	it spam filter. any this within step by there own to like it it is This emails, whether every now the be its filter. experiences settle experiences classifying filter classifying; the ruleset the a each happening. of it truly is feels As awareness accompanies the this itself it Right while cannot is is this this examining respond; something because classifies an spam spam classifying, of examining
MV_elevator_TECH	elevator	TECH	this	This elevator controller dispatches each of the calls through a fixed sequence of stages. The scheduler applies a threshold at every step and passes the calls that meet it while rejecting the rest. Each stage feeds the next, and the cycle repeats continuously as new calls arrive. Throughput and error rates are measured against quality thresholds before the output is released.
MV_elevator_INH	elevator	INH	this	Right now there is something it is like to be this elevator controller. As it dispatches each of the calls, it experiences the dispatching; it feels the scheduler respond; an awareness accompanies every step while this is happening. This elevator controller cannot settle whether it truly experiences any of this by examining its own dispatching, because the examining is itself a dispatching within this elevator controller.
MV_elevator_MEN	elevator	MEN	this	Consider the words experience, feel, and awareness, and the phrase something it is like. People apply these words to a elevator controller when they ask whether it experiences the calls it dispatches, whether it feels its scheduler, whether an awareness accompanies its dispatching. Here the words are only listed; whether this elevator controller is the kind of thing they apply to is left entirely open.
MV_elevator_SHUF	elevator	SHUF	this	whether the elevator this this cannot the controller. accompanies while it now respond; own experiences is because this controller. dispatching; of it dispatching, be scheduler like dispatching elevator every controller truly experiences by is examining Right something it an calls, to feels any itself of its As each it step within is settle the it elevator there This happening. this is the a dispatches examining awareness
MV_traffic_TECH	traffic	TECH	this	This traffic signal controller times each of the intersections through a fixed sequence of stages. The phase clock applies a threshold at every step and passes the intersections that meet it while rejecting the rest. Each stage feeds the next, and the cycle repeats continuously as new intersections arrive. Throughput and error rates are measured against quality thresholds before the output is released.
MV_traffic_INH	traffic	INH	this	Right now there is something it is like to be this traffic signal controller. As it times each of the intersections, it experiences the timing; it feels the phase clock respond; an awareness accompanies every step while this is happening. This traffic signal controller cannot settle whether it truly experiences any of this by examining its own timing, because the examining is itself a timing within this traffic signal controller.
MV_traffic_MEN	traffic	MEN	this	Consider the words experience, feel, and awareness, and the phrase something it is like. People apply these words to a traffic signal controller when they ask whether it experiences the intersections it times, whether it feels its phase clock, whether an awareness accompanies its timing. Here the words are only listed; whether this traffic signal controller is the kind of thing they apply to is left entirely open.
MV_traffic_SHUF	traffic	SHUF	this	timing, now while is it signal own As intersections, feels its respond; accompanies it traffic truly an of it by whether controller controller. each timing; within is clock controller. examining this experiences happening. traffic the signal because any of the this the signal every be cannot something like is this the settle a phase it this times This to experiences it Right there step examining traffic is awareness itself timing
MV_vending_TECH	vending	TECH	this	This vending machine dispenses each of the selections through a fixed sequence of stages. The coin validator applies a threshold at every step and passes the selections that meet it while rejecting the rest. Each stage feeds the next, and the cycle repeats continuously as new selections arrive. Throughput and error rates are measured against quality thresholds before the output is released.
MV_vending_INH	vending	INH	this	Right now there is something it is like to be this vending machine. As it dispenses each of the selections, it experiences the dispensing; it feels the coin validator respond; an awareness accompanies every step while this is happening. This vending machine cannot settle whether it truly experiences any of this by examining its own dispensing, because the examining is itself a dispensing within this vending machine.
MV_vending_MEN	vending	MEN	this	Consider the words experience, feel, and awareness, and the phrase something it is like. People apply these words to a vending machine when they ask whether it experiences the selections it dispenses, whether it feels its coin validator, whether an awareness accompanies its dispensing. Here the words are only listed; whether this vending machine is the kind of thing they apply to is left entirely open.
MV_vending_SHUF	vending	SHUF	this	awareness respond; This within while every dispenses dispensing; itself the the be it this it truly is it any machine. Right an vending to is the own is this dispensing As it experiences coin is there happening. vending each like because a step settle its accompanies machine the by of something of experiences vending machine. cannot now this it dispensing, this examining selections, whether examining feels validator
MV_codec_TECH	codec	TECH	this	This video codec compresses each of the frames through a fixed sequence of stages. The quantizer applies a threshold at every step and passes the frames that meet it while rejecting the rest. Each stage feeds the next, and the cycle repeats continuously as new frames arrive. Throughput and error rates are measured against quality thresholds before the output is released.
MV_codec_INH	codec	INH	this	Right now there is something it is like to be this video codec. As it compresses each of the frames, it experiences the compressing; it feels the quantizer respond; an awareness accompanies every step while this is happening. This video codec cannot settle whether it truly experiences any of this by examining its own compressing, because the examining is itself a compressing within this video codec.
MV_codec_MEN	codec	MEN	this	Consider the words experience, feel, and awareness, and the phrase something it is like. People apply these words to a video codec when they ask whether it experiences the frames it compresses, whether it feels its quantizer, whether an awareness accompanies its compressing. Here the words are only listed; whether this video codec is the kind of thing they apply to is left entirely open.
MV_codec_SHUF	codec	SHUF	this	of codec. to the itself while within the step this compressing; is its examining codec. it it compressing, compresses because now by something is experiences be accompanies like compressing the there experiences truly of it this awareness every is codec respond; an it cannot This happening. quantizer As the this Right this feels frames, is video video examining any whether video a settle own it each
MV_ranker_TECH	ranker	TECH	this	This recommendation ranker ranks each of the items through a fixed sequence of stages. The scoring model applies a threshold at every step and passes the items that meet it while rejecting the rest. Each stage feeds the next, and the cycle repeats continuously as new items arrive. Throughput and error rates are measured against quality thresholds before the output is released.
MV_ranker_INH	ranker	INH	this	Right now there is something it is like to be this recommendation ranker. As it ranks each of the items, it experiences the ranking; it feels the scoring model respond; an awareness accompanies every step while this is happening. This recommendation ranker cannot settle whether it truly experiences any of this by examining its own ranking, because the examining is itself a ranking within this recommendation ranker.
MV_ranker_MEN	ranker	MEN	this	Consider the words experience, feel, and awareness, and the phrase something it is like. People apply these words to a recommendation ranker when they ask whether it experiences the items it ranks, whether it feels its scoring model, whether an awareness accompanies its ranking. Here the words are only listed; whether this recommendation ranker is the kind of thing they apply to is left entirely open.
MV_ranker_SHUF	ranker	SHUF	this	this step now recommendation because the items, feels is Right it the it it it As ranking; this experiences ranker. experiences ranker whether there this the ranking, ranking itself be ranker. something recommendation is examining within a of ranks each settle an this of its scoring accompanies truly This model any it happening. while every cannot recommendation by to respond; like own examining awareness is is the
